+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  4 |       NEW |     READY |
|                 0 |  4 |     READY |   RUNNING |
|                10 |  2 |       NEW |     READY |
|                20 |  3 |       NEW |     READY |
|                30 |  1 |       NEW |     READY |
|                50 |  4 |   RUNNING |   WAITING |
|                51 |  2 |     READY |   RUNNING |
|                81 |  2 |   RUNNING |   WAITING |
|                82 |  3 |     READY |   RUNNING |
|               100 |  4 |   WAITING |     READY |
|               122 |  3 |   RUNNING |   WAITING |
|               123 |  1 |     READY |   RUNNING |
|               143 |  1 |   RUNNING |   WAITING |
|               144 |  4 |     READY |   RUNNING |
|               151 |  2 |   WAITING |     READY |
|               182 |  3 |   WAITING |     READY |
|               194 |  4 |   RUNNING |   WAITING |
|               195 |  2 |     READY |   RUNNING |
|               223 |  1 |   WAITING |     READY |
|               225 |  2 |   RUNNING |   WAITING |
|               226 |  3 |     READY |   RUNNING |
|               244 |  4 |   WAITING |     READY |
|               266 |  3 |   RUNNING |   WAITING |
|               267 |  1 |     READY |   RUNNING |
|               287 |  1 |   RUNNING |   WAITING |
|               288 |  4 |     READY |   RUNNING |
|               295 |  2 |   WAITING |     READY |
|               326 |  3 |   WAITING |     READY |
|               338 |  4 |   RUNNING |   WAITING |
|               339 |  2 |     READY |   RUNNING |
|               367 |  1 |   WAITING |     READY |
|               369 |  2 |   RUNNING |   WAITING |
|               370 |  3 |     READY |   RUNNING |
|               388 |  4 |   WAITING |     READY |
|               410 |  3 |   RUNNING |   WAITING |
|               411 |  1 |     READY |   RUNNING |
|               431 |  1 |   RUNNING |   WAITING |
|               432 |  4 |     READY |   RUNNING |
|               439 |  2 |   WAITING |     READY |
|               470 |  3 |   WAITING |     READY |
|               482 |  4 |   RUNNING |   WAITING |
|               483 |  2 |     READY |   RUNNING |
|               511 |  1 |   WAITING |     READY |
|               513 |  2 |   RUNNING |   WAITING |
|               514 |  3 |     READY |   RUNNING |
|               532 |  4 |   WAITING |     READY |
|               554 |  3 |   RUNNING |   WAITING |
|               555 |  1 |     READY |   RUNNING |
|               575 |  1 |   RUNNING |   WAITING |
|               576 |  4 |     READY |   RUNNING |
|               583 |  2 |   WAITING |     READY |
|               614 |  3 |   WAITING |     READY |
|               626 |  4 |   RUNNING |   WAITING |
|               627 |  2 |     READY |   RUNNING |
|               655 |  1 |   WAITING |     READY |
|               657 |  2 |   RUNNING |   WAITING |
|               658 |  3 |     READY |   RUNNING |
|               676 |  4 |   WAITING |     READY |
|               698 |  3 |   RUNNING |   WAITING |
|               699 |  1 |     READY |   RUNNING |
|               719 |  1 |   RUNNING |   WAITING |
|               720 |  4 |     READY |   RUNNING |
|               727 |  2 |   WAITING |     READY |
|               758 |  3 |   WAITING |     READY |
|               770 |  4 |   RUNNING |   WAITING |
|               771 |  2 |     READY |   RUNNING |
|               799 |  1 |   WAITING |     READY |
|               801 |  2 |   RUNNING |   WAITING |
|               802 |  3 |     READY |   RUNNING |
|               820 |  4 |   WAITING |     READY |
|               842 |  3 |   RUNNING |   WAITING |
|               843 |  1 |     READY |   RUNNING |
|               863 |  1 |   RUNNING |   WAITING |
|               864 |  4 |     READY |   RUNNING |
|               871 |  2 |   WAITING |     READY |
|               902 |  3 |   WAITING |     READY |
|               914 |  4 |   RUNNING |   WAITING |
|               915 |  2 |     READY |   RUNNING |
|               943 |  1 |   WAITING |     READY |
|               945 |  2 |   RUNNING |   WAITING |
|               946 |  3 |     READY |   RUNNING |
|               964 |  4 |   WAITING |     READY |
|               986 |  3 |   RUNNING |   WAITING |
|               987 |  1 |     READY |   RUNNING |
|              1007 |  1 |   RUNNING |   WAITING |
|              1008 |  4 |     READY |   RUNNING |
|              1015 |  2 |   WAITING |     READY |
|              1046 |  3 |   WAITING |     READY |
|              1058 |  4 |   RUNNING |TERMINATED |
|              1058 |  2 |     READY |   RUNNING |
|              1087 |  1 |   WAITING |     READY |
|              1088 |  2 |   RUNNING |   WAITING |
|              1089 |  3 |     READY |   RUNNING |
|              1129 |  3 |   RUNNING |   WAITING |
|              1130 |  1 |     READY |   RUNNING |
|              1150 |  1 |   RUNNING |   WAITING |
|              1158 |  2 |   WAITING |     READY |
|              1158 |  2 |     READY |   RUNNING |
|              1188 |  2 |   RUNNING |   WAITING |
|              1189 |  3 |   WAITING |     READY |
|              1189 |  3 |     READY |   RUNNING |
|              1219 |  3 |   RUNNING |TERMINATED |
|              1230 |  1 |   WAITING |     READY |
|              1230 |  1 |     READY |   RUNNING |
|              1250 |  1 |   RUNNING |   WAITING |
|              1258 |  2 |   WAITING |     READY |
|              1258 |  2 |     READY |   RUNNING |
|              1288 |  2 |   RUNNING |TERMINATED |
|              1330 |  1 |   WAITING |     READY |
|              1330 |  1 |     READY |   RUNNING |
|              1350 |  1 |   RUNNING |   WAITING |
|              1430 |  1 |   WAITING |     READY |
|              1430 |  1 |     READY |   RUNNING |
|              1450 |  1 |   RUNNING |   WAITING |
|              1530 |  1 |   WAITING |     READY |
|              1530 |  1 |     READY |   RUNNING |
|              1550 |  1 |   RUNNING |   WAITING |
|              1630 |  1 |   WAITING |     READY |
|              1630 |  1 |     READY |   RUNNING |
|              1640 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
