+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                10 |  3 |       NEW |     READY |
|               101 |  1 |   RUNNING |     READY |
|               101 |  2 |     READY |   RUNNING |
|               202 |  2 |   RUNNING |     READY |
|               202 |  3 |     READY |   RUNNING |
|               242 |  3 |   RUNNING |   WAITING |
|               243 |  1 |     READY |   RUNNING |
|               282 |  3 |   WAITING |     READY |
|               344 |  1 |   RUNNING |     READY |
|               344 |  2 |     READY |   RUNNING |
|               445 |  2 |   RUNNING |     READY |
|               445 |  3 |     READY |   RUNNING |
|               485 |  3 |   RUNNING |   WAITING |
|               486 |  1 |     READY |   RUNNING |
|               525 |  3 |   WAITING |     READY |
|               587 |  1 |   RUNNING |     READY |
|               587 |  2 |     READY |   RUNNING |
|               688 |  2 |   RUNNING |     READY |
|               688 |  3 |     READY |   RUNNING |
|               728 |  3 |   RUNNING |   WAITING |
|               729 |  1 |     READY |   RUNNING |
|               768 |  3 |   WAITING |     READY |
|               830 |  1 |   RUNNING |     READY |
|               830 |  2 |     READY |   RUNNING |
|               931 |  2 |   RUNNING |     READY |
|               931 |  3 |     READY |   RUNNING |
|               961 |  3 |   RUNNING |TERMINATED |
|               961 |  1 |     READY |   RUNNING |
|              1062 |  1 |   RUNNING |     READY |
|              1062 |  2 |     READY |   RUNNING |
|              1163 |  2 |   RUNNING |     READY |
|              1163 |  1 |     READY |   RUNNING |
|              1258 |  1 |   RUNNING |TERMINATED |
|              1258 |  2 |     READY |   RUNNING |
|              1303 |  2 |   RUNNING |TERMINATED |
+------------------------------------------------+
