+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                10 |  3 |       NEW |     READY |
|                20 |  2 |       NEW |     READY |
|                30 |  4 |       NEW |     READY |
|                50 |  1 |   RUNNING |   WAITING |
|                51 |  2 |     READY |   RUNNING |
|                91 |  2 |   RUNNING |   WAITING |
|                92 |  3 |     READY |   RUNNING |
|               100 |  1 |   WAITING |     READY |
|               122 |  3 |   RUNNING |   WAITING |
|               123 |  1 |     READY |   RUNNING |
|               151 |  2 |   WAITING |     READY |
|               173 |  1 |   RUNNING |   WAITING |
|               174 |  2 |     READY |   RUNNING |
|               192 |  3 |   WAITING |     READY |
|               214 |  2 |   RUNNING |   WAITING |
|               215 |  3 |     READY |   RUNNING |
|               223 |  1 |   WAITING |     READY |
|               245 |  3 |   RUNNING |   WAITING |
|               246 |  1 |     READY |   RUNNING |
|               274 |  2 |   WAITING |     READY |
|               296 |  1 |   RUNNING |   WAITING |
|               297 |  2 |     READY |   RUNNING |
|               315 |  3 |   WAITING |     READY |
|               337 |  2 |   RUNNING |   WAITING |
|               338 |  3 |     READY |   RUNNING |
|               346 |  1 |   WAITING |     READY |
|               368 |  3 |   RUNNING |   WAITING |
|               369 |  1 |     READY |   RUNNING |
|               397 |  2 |   WAITING |     READY |
|               419 |  1 |   RUNNING |   WAITING |
|               420 |  2 |     READY |   RUNNING |
|               438 |  3 |   WAITING |     READY |
|               460 |  2 |   RUNNING |   WAITING |
|               461 |  3 |     READY |   RUNNING |
|               469 |  1 |   WAITING |     READY |
|               491 |  3 |   RUNNING |   WAITING |
|               492 |  1 |     READY |   RUNNING |
|               520 |  2 |   WAITING |     READY |
|               542 |  1 |   RUNNING |   WAITING |
|               543 |  2 |     READY |   RUNNING |
|               561 |  3 |   WAITING |     READY |
|               583 |  2 |   RUNNING |   WAITING |
|               584 |  3 |     READY |   RUNNING |
|               592 |  1 |   WAITING |     READY |
|               614 |  3 |   RUNNING |   WAITING |
|               615 |  1 |     READY |   RUNNING |
|               643 |  2 |   WAITING |     READY |
|               665 |  1 |   RUNNING |   WAITING |
|               666 |  2 |     READY |   RUNNING |
|               684 |  3 |   WAITING |     READY |
|               706 |  2 |   RUNNING |   WAITING |
|               707 |  3 |     READY |   RUNNING |
|               715 |  1 |   WAITING |     READY |
|               737 |  3 |   RUNNING |   WAITING |
|               738 |  1 |     READY |   RUNNING |
|               766 |  2 |   WAITING |     READY |
|               788 |  1 |   RUNNING |   WAITING |
|               789 |  2 |     READY |   RUNNING |
|               807 |  3 |   WAITING |     READY |
|               829 |  2 |   RUNNING |   WAITING |
|               830 |  3 |     READY |   RUNNING |
|               838 |  1 |   WAITING |     READY |
|               860 |  3 |   RUNNING |   WAITING |
|               861 |  1 |     READY |   RUNNING |
|               889 |  2 |   WAITING |     READY |
|               911 |  1 |   RUNNING |TERMINATED |
|               911 |  2 |     READY |   RUNNING |
|               930 |  3 |   WAITING |     READY |
|               951 |  2 |   RUNNING |   WAITING |
|               952 |  3 |     READY |   RUNNING |
|               982 |  3 |   RUNNING |   WAITING |
|               983 |  4 |     READY |   RUNNING |
|              1003 |  4 |   RUNNING |   WAITING |
|              1011 |  2 |   WAITING |     READY |
|              1011 |  2 |     READY |   RUNNING |
|              1041 |  2 |   RUNNING |TERMINATED |
|              1052 |  3 |   WAITING |     READY |
|              1052 |  3 |     READY |   RUNNING |
|              1082 |  3 |   RUNNING |   WAITING |
|              1083 |  4 |   WAITING |     READY |
|              1083 |  4 |     READY |   RUNNING |
|              1103 |  4 |   RUNNING |   WAITING |
|              1152 |  3 |   WAITING |     READY |
|              1152 |  3 |     READY |   RUNNING |
|              1182 |  3 |   RUNNING |TERMINATED |
|              1183 |  4 |   WAITING |     READY |
|              1183 |  4 |     READY |   RUNNING |
|              1203 |  4 |   RUNNING |   WAITING |
|              1283 |  4 |   WAITING |     READY |
|              1283 |  4 |     READY |   RUNNING |
|              1303 |  4 |   RUNNING |   WAITING |
|              1383 |  4 |   WAITING |     READY |
|              1383 |  4 |     READY |   RUNNING |
|              1403 |  4 |   RUNNING |   WAITING |
|              1483 |  4 |   WAITING |     READY |
|              1483 |  4 |     READY |   RUNNING |
|              1503 |  4 |   RUNNING |   WAITING |
|              1583 |  4 |   WAITING |     READY |
|              1583 |  4 |     READY |   RUNNING |
|              1603 |  4 |   RUNNING |   WAITING |
|              1683 |  4 |   WAITING |     READY |
|              1683 |  4 |     READY |   RUNNING |
|              1703 |  4 |   RUNNING |   WAITING |
|              1783 |  4 |   WAITING |     READY |
|              1783 |  4 |     READY |   RUNNING |
|              1803 |  4 |   RUNNING |   WAITING |
|              1883 |  4 |   WAITING |     READY |
|              1883 |  4 |     READY |   RUNNING |
|              1903 |  4 |   RUNNING |   WAITING |
|              1983 |  4 |   WAITING |     READY |
|              1983 |  4 |     READY |   RUNNING |
|              2003 |  4 |   RUNNING |   WAITING |
|              2083 |  4 |   WAITING |     READY |
|              2083 |  4 |     READY |   RUNNING |
|              2103 |  4 |   RUNNING |   WAITING |
|              2183 |  4 |   WAITING |     READY |
|              2183 |  4 |     READY |   RUNNING |
|              2193 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+
