+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  4 |       NEW |     READY |
|                 0 |  4 |     READY |   RUNNING |
|                10 |  2 |       NEW |     READY |
|                20 |  3 |       NEW |     READY |
|                30 |  1 |       NEW |     READY |
|                50 |  4 |   RUNNING |   WAITING |
|                51 |  1 |     READY |   RUNNING |
|                71 |  1 |   RUNNING |   WAITING |
|                72 |  2 |     READY |   RUNNING |
|               100 |  4 |   WAITING |     READY |
|               102 |  2 |   RUNNING |   WAITING |
|               103 |  3 |     READY |   RUNNING |
|               143 |  3 |   RUNNING |   WAITING |
|               144 |  4 |     READY |   RUNNING |
|               151 |  1 |   WAITING |     READY |
|               172 |  2 |   WAITING |     READY |
|               194 |  4 |   RUNNING |   WAITING |
|               195 |  1 |     READY |   RUNNING |
|               203 |  3 |   WAITING |     READY |
|               215 |  1 |   RUNNING |   WAITING |
|               216 |  2 |     READY |   RUNNING |
|               244 |  4 |   WAITING |     READY |
|               246 |  2 |   RUNNING |   WAITING |
|               247 |  3 |     READY |   RUNNING |
|               287 |  3 |   RUNNING |   WAITING |
|               288 |  4 |     READY |   RUNNING |
|               295 |  1 |   WAITING |     READY |
|               316 |  2 |   WAITING |     READY |
|               338 |  4 |   RUNNING |   WAITING |
|               339 |  1 |     READY |   RUNNING |
|               347 |  3 |   WAITING |     READY |
|               359 |  1 |   RUNNING |   WAITING |
|               360 |  2 |     READY |   RUNNING |
|               388 |  4 |   WAITING |     READY |
|               390 |  2 |   RUNNING |   WAITING |
|               391 |  3 |     READY |   RUNNING |
|               431 |  3 |   RUNNING |   WAITING |
|               432 |  4 |     READY |   RUNNING |
|               439 |  1 |   WAITING |     READY |
|               460 |  2 |   WAITING |     READY |
|               482 |  4 |   RUNNING |   WAITING |
|               483 |  1 |     READY |   RUNNING |
|               491 |  3 |   WAITING |     READY |
|               503 |  1 |   RUNNING |   WAITING |
|               504 |  2 |     READY |   RUNNING |
|               532 |  4 |   WAITING |     READY |
|               534 |  2 |   RUNNING |   WAITING |
|               535 |  3 |     READY |   RUNNING |
|               575 |  3 |   RUNNING |   WAITING |
|               576 |  4 |     READY |   RUNNING |
|               583 |  1 |   WAITING |     READY |
|               604 |  2 |   WAITING |     READY |
|               626 |  4 |   RUNNING |   WAITING |
|               627 |  1 |     READY |   RUNNING |
|               635 |  3 |   WAITING |     READY |
|               647 |  1 |   RUNNING |   WAITING |
|               648 |  2 |     READY |   RUNNING |
|               676 |  4 |   WAITING |     READY |
|               678 |  2 |   RUNNING |   WAITING |
|               679 |  3 |     READY |   RUNNING |
|               719 |  3 |   RUNNING |   WAITING |
|               720 |  4 |     READY |   RUNNING |
|               727 |  1 |   WAITING |     READY |
|               748 |  2 |   WAITING |     READY |
|               770 |  4 |   RUNNING |   WAITING |
|               771 |  1 |     READY |   RUNNING |
|               779 |  3 |   WAITING |     READY |
|               791 |  1 |   RUNNING |   WAITING |
|               792 |  2 |     READY |   RUNNING |
|               820 |  4 |   WAITING |     READY |
|               822 |  2 |   RUNNING |   WAITING |
|               823 |  3 |     READY |   RUNNING |
|               863 |  3 |   RUNNING |   WAITING |
|               864 |  4 |     READY |   RUNNING |
|               871 |  1 |   WAITING |     READY |
|               892 |  2 |   WAITING |     READY |
|               914 |  4 |   RUNNING |   WAITING |
|               915 |  1 |     READY |   RUNNING |
|               923 |  3 |   WAITING |     READY |
|               935 |  1 |   RUNNING |   WAITING |
|               936 |  2 |     READY |   RUNNING |
|               964 |  4 |   WAITING |     READY |
|               966 |  2 |   RUNNING |   WAITING |
|               967 |  3 |     READY |   RUNNING |
|              1007 |  3 |   RUNNING |   WAITING |
|              1008 |  4 |     READY |   RUNNING |
|              1015 |  1 |   WAITING |     READY |
|              1036 |  2 |   WAITING |     READY |
|              1058 |  4 |   RUNNING |TERMINATED |
|              1058 |  1 |     READY |   RUNNING |
|              1067 |  3 |   WAITING |     READY |
|              1078 |  1 |   RUNNING |   WAITING |
|              1079 |  2 |     READY |   RUNNING |
|              1109 |  2 |   RUNNING |   WAITING |
|              1110 |  3 |     READY |   RUNNING |
|              1150 |  3 |   RUNNING |   WAITING |
|              1158 |  1 |   WAITING |     READY |
|              1158 |  1 |     READY |   RUNNING |
|              1178 |  1 |   RUNNING |   WAITING |
|              1179 |  2 |   WAITING |     READY |
|              1179 |  2 |     READY |   RUNNING |
|              1209 |  2 |   RUNNING |   WAITING |
|              1210 |  3 |   WAITING |     READY |
|              1210 |  3 |     READY |   RUNNING |
|              1240 |  3 |   RUNNING |TERMINATED |
|              1258 |  1 |   WAITING |     READY |
|              1258 |  1 |     READY |   RUNNING |
|              1278 |  1 |   RUNNING |   WAITING |
|              1279 |  2 |   WAITING |     READY |
|              1279 |  2 |     READY |   RUNNING |
|              1309 |  2 |   RUNNING |TERMINATED |
|              1358 |  1 |   WAITING |     READY |
|              1358 |  1 |     READY |   RUNNING |
|              1378 |  1 |   RUNNING |   WAITING |
|              1458 |  1 |   WAITING |     READY |
|              1458 |  1 |     READY |   RUNNING |
|              1478 |  1 |   RUNNING |   WAITING |
|              1558 |  1 |   WAITING |     READY |
|              1558 |  1 |     READY |   RUNNING |
|              1568 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
