+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  4 |       NEW |     READY |
|                 0 |  4 |     READY |   RUNNING |
|                10 |  2 |       NEW |     READY |
|                10 |  4 |   RUNNING |     READY |
|                10 |  2 |     READY |   RUNNING |
|                20 |  3 |       NEW |     READY |
|                30 |  1 |       NEW |     READY |
|                30 |  2 |   RUNNING |     READY |
|                30 |  1 |     READY |   RUNNING |
|                50 |  1 |   RUNNING |   WAITING |
|                51 |  2 |     READY |   RUNNING |
|                61 |  2 |   RUNNING |   WAITING |
|                62 |  3 |     READY |   RUNNING |
|               102 |  3 |   RUNNING |   WAITING |
|               103 |  4 |     READY |   RUNNING |
|               130 |  1 |   WAITING |     READY |
|               131 |  2 |   WAITING |     READY |
|               143 |  4 |   RUNNING |   WAITING |
|               144 |  1 |     READY |   RUNNING |
|               162 |  3 |   WAITING |     READY |
|               164 |  1 |   RUNNING |   WAITING |
|               165 |  2 |     READY |   RUNNING |
|               193 |  4 |   WAITING |     READY |
|               195 |  2 |   RUNNING |   WAITING |
|               196 |  3 |     READY |   RUNNING |
|               236 |  3 |   RUNNING |   WAITING |
|               237 |  4 |     READY |   RUNNING |
|               244 |  1 |   WAITING |     READY |
|               265 |  2 |   WAITING |     READY |
|               287 |  4 |   RUNNING |   WAITING |
|               288 |  1 |     READY |   RUNNING |
|               296 |  3 |   WAITING |     READY |
|               308 |  1 |   RUNNING |   WAITING |
|               309 |  2 |     READY |   RUNNING |
|               337 |  4 |   WAITING |     READY |
|               339 |  2 |   RUNNING |   WAITING |
|               340 |  3 |     READY |   RUNNING |
|               380 |  3 |   RUNNING |   WAITING |
|               381 |  4 |     READY |   RUNNING |
|               388 |  1 |   WAITING |     READY |
|               409 |  2 |   WAITING |     READY |
|               431 |  4 |   RUNNING |   WAITING |
|               432 |  1 |     READY |   RUNNING |
|               440 |  3 |   WAITING |     READY |
|               452 |  1 |   RUNNING |   WAITING |
|               453 |  2 |     READY |   RUNNING |
|               481 |  4 |   WAITING |     READY |
|               483 |  2 |   RUNNING |   WAITING |
|               484 |  3 |     READY |   RUNNING |
|               524 |  3 |   RUNNING |   WAITING |
|               525 |  4 |     READY |   RUNNING |
|               532 |  1 |   WAITING |     READY |
|               553 |  2 |   WAITING |     READY |
|               575 |  4 |   RUNNING |   WAITING |
|               576 |  1 |     READY |   RUNNING |
|               584 |  3 |   WAITING |     READY |
|               596 |  1 |   RUNNING |   WAITING |
|               597 |  2 |     READY |   RUNNING |
|               625 |  4 |   WAITING |     READY |
|               627 |  2 |   RUNNING |   WAITING |
|               628 |  3 |     READY |   RUNNING |
|               668 |  3 |   RUNNING |   WAITING |
|               669 |  4 |     READY |   RUNNING |
|               676 |  1 |   WAITING |     READY |
|               697 |  2 |   WAITING |     READY |
|               719 |  4 |   RUNNING |   WAITING |
|               720 |  1 |     READY |   RUNNING |
|               728 |  3 |   WAITING |     READY |
|               740 |  1 |   RUNNING |   WAITING |
|               741 |  2 |     READY |   RUNNING |
|               769 |  4 |   WAITING |     READY |
|               771 |  2 |   RUNNING |   WAITING |
|               772 |  3 |     READY |   RUNNING |
|               812 |  3 |   RUNNING |   WAITING |
|               813 |  4 |     READY |   RUNNING |
|               820 |  1 |   WAITING |     READY |
|               841 |  2 |   WAITING |     READY |
|               863 |  4 |   RUNNING |   WAITING |
|               864 |  1 |     READY |   RUNNING |
|               872 |  3 |   WAITING |     READY |
|               884 |  1 |   RUNNING |   WAITING |
|               885 |  2 |     READY |   RUNNING |
|               913 |  4 |   WAITING |     READY |
|               915 |  2 |   RUNNING |   WAITING |
|               916 |  3 |     READY |   RUNNING |
|               956 |  3 |   RUNNING |   WAITING |
|               957 |  4 |     READY |   RUNNING |
|               964 |  1 |   WAITING |     READY |
|               985 |  2 |   WAITING |     READY |
|              1007 |  4 |   RUNNING |   WAITING |
|              1008 |  1 |     READY |   RUNNING |
|              1016 |  3 |   WAITING |     READY |
|              1028 |  1 |   RUNNING |   WAITING |
|              1029 |  2 |     READY |   RUNNING |
|              1057 |  4 |   WAITING |     READY |
|              1059 |  2 |   RUNNING |   WAITING |
|              1060 |  3 |     READY |   RUNNING |
|              1100 |  3 |   RUNNING |   WAITING |
|              1101 |  4 |     READY |   RUNNING |
|              1108 |  1 |   WAITING |     READY |
|              1129 |  2 |   WAITING |     READY |
|              1151 |  4 |   RUNNING |TERMINATED |
|              1151 |  1 |     READY |   RUNNING |
|              1160 |  3 |   WAITING |     READY |
|              1171 |  1 |   RUNNING |   WAITING |
|              1172 |  2 |     READY |   RUNNING |
|              1202 |  2 |   RUNNING |   WAITING |
|              1203 |  3 |     READY |   RUNNING |
|              1233 |  3 |   RUNNING |TERMINATED |
|              1251 |  1 |   WAITING |     READY |
|              1251 |  1 |     READY |   RUNNING |
|              1271 |  1 |   RUNNING |   WAITING |
|              1272 |  2 |   WAITING |     READY |
|              1272 |  2 |     READY |   RUNNING |
|              1302 |  2 |   RUNNING |TERMINATED |
|              1351 |  1 |   WAITING |     READY |
|              1351 |  1 |     READY |   RUNNING |
|              1371 |  1 |   RUNNING |   WAITING |
|              1451 |  1 |   WAITING |     READY |
|              1451 |  1 |     READY |   RUNNING |
|              1471 |  1 |   RUNNING |   WAITING |
|              1551 |  1 |   WAITING |     READY |
|              1551 |  1 |     READY |   RUNNING |
|              1561 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
